Opportunity Line Name,Opportunity Line ID,Opportunity Line Parent,Line Number,Product Line Name,Product ID,Amount,Total Amount,Quantity,Owner ID,Account,Service Date,Planning Measure
SlimLite Tablet 10x - Rite Aid -  Panel Roll Out,Rite Aid Panel Roll Out - HP 3.5,Opp857,10,SlimLite Tablet 10x,Networking,188029.3181,188029.3181,10,"Frazier, Tom",13449,12/25/2007,New Business
FastSnap Intro Package - Rite Aid -  Panel Roll Out,Rite Aid Panel Roll Out - INST,Opp857,0,FastSnap Intro Package,Cloud,74.29505035,74.29505035,120,"Frazier, Tom",11897,12/25/2007,New Business
LockDown Individual - Rite Aid -  Panel Roll Out,Rite Aid Panel Roll Out - UPG,Opp857,0,LockDown Individual,Services,68996.38689,68996.38689,431,"Frazier, Tom",11897,12/25/2007,New Business
FastSnap Individual - Rite Aid -  Renewal,Rite Aid Renewal - MTC,Opp1109,0,FastSnap Individual,Cloud,179122.2913,179122.2913,140,"Frazier, Tom",11897,1/19/2025,Expansions
FastOffice Scanner D2200 - Rite Aid -  Renewal,Rite Aid Renewal - SOLAR M,Opp1109,2200,FastOffice Scanner D2200,Servers,153577.7087,153577.7087,2200,"Frazier, Tom",11897,1/19/2025,Expansions
LockDown Individual - Rite Aid -  Expand,Rite Aid Expand - UPG,Opp1110,0,LockDown Individual,Services,227649.5984,227649.5984,1423,"Frazier, Tom",11897,1/30/2025,Expansions
FastOffice Scanner D2400 - Rite Aid -  Expand,Rite Aid Expand - SOLAR H,Opp1110,2400,FastOffice Scanner D2400,Servers,60969.80097,60969.80097,2400,"Frazier, Tom",11897,1/30/2025,Expansions
SlimLite Tablet 11 - Rite Aid -  Expand,Rite Aid Expand - HP 4.5,Opp1110,11,SlimLite Tablet 11,Networking,44380.6006,44380.6006,11,"Frazier, Tom",11897,1/30/2025,Expansions
CloudLite Server Pro 8200 - Rite Aid -  Opp D077,Rite Aid Opp D077 - SP Att,Opp859,8200,CloudLite Server Pro 8200,Storage,22464.3208,22464.3208,8200,"Frazier, Tom",11897,9/25/2002,Expansions
FastOffice Scanner D2200 - Rite Aid -  Opp D077,Rite Aid Opp D077 - SOLAR M,Opp859,2200,FastOffice Scanner D2200,Servers,211376.0317,211376.0317,2200,"Frazier, Tom",11897,9/25/2002,Expansions
CloudLite Server Pro 9100 - Rite Aid -  Opp D077,Rite Aid Opp D077 - SP 5.6,Opp859,9100,CloudLite Server Pro 9100,Storage,23859.64754,23859.64754,9100,"Frazier, Tom",11897,9/25/2002,Expansions
FastOffice Scanner D2400 - Rite Aid -  Opp C069,Rite Aid Opp C069 - SOLAR H,Opp860,2400,FastOffice Scanner D2400,Servers,775000,775000,2400,"Frazier, Tom",11897,8/22/2025,New Business
SlimLite Tablet 9 - Biogen Idec -  Opp A04,Biogen Idec Opp A04 - HP Att,Opp97,9,SlimLite Tablet 9,Networking,420000,420000,9,"Frazier, Tom",18153,7/29/2025,Expansions
LockDown Intro Package - Biogen Idec -  Opp B092,Biogen Idec Opp B092 - ADD,Opp98,0,LockDown Intro Package,Services,300000,300000,1875,"Frazier, Tom",18153,8/19/2025,New Business
SlimLite Tablet 10 - Biogen Idec -  Opp C064,Biogen Idec Opp C064 - HP 2.5,Opp99,10,SlimLite Tablet 10,Networking,22569.21447,22569.21447,10,"Frazier, Tom",18153,6/25/2002,New Business
SlimLite Tablet 9 - Biogen Idec -  Opp C064,Biogen Idec Opp C064 - HP Att,Opp99,9,SlimLite Tablet 9,Networking,35433.66791,35433.66791,9,"Frazier, Tom",18153,6/25/2002,New Business
SlimLite Tablet 11 - Biogen Idec -  Opp C064,Biogen Idec Opp C064 - HP 4.5,Opp99,11,SlimLite Tablet 11,Networking,41997.11762,41997.11762,11,"Frazier, Tom",18153,6/25/2002,New Business
FastSnap Individual - Biogen Idec -  Opp D033,Biogen Idec Opp D033 - MTC,Opp100,0,FastSnap Individual,Cloud,30000,30000,150,"Frazier, Tom",18153,9/28/2025,Expansions
LockDown Individual - Comcast -  Opp A064,Comcast Opp A064 - UPG,Opp863,0,LockDown Individual,Services,258900,258900,1618,"Frazier, Tom",34932,8/26/2025,Expansions
CloudLite Server Pro 9440 - Comcast -  Opp B036,Comcast Opp B036 - SP 5.5,Opp864,9440,CloudLite Server Pro 9440,Storage,744706.7859,744706.7859,9440,"Frazier, Tom",34932,9/28/2025,Expansions
FastOffice Scanner D2400 - Comcast -  Opp B036,Comcast Opp B036 - SOLAR H,Opp864,2400,FastOffice Scanner D2400,Servers,9648.194862,9648.194862,2400,"Frazier, Tom",34932,9/28/2025,Expansions
CloudLite Server Pro 8200 - Comcast -  Opp B036,Comcast Opp B036 - SP Att,Opp864,8200,CloudLite Server Pro 8200,Storage,23245.01923,23245.01923,8200,"Frazier, Tom",34932,9/28/2025,Expansions
FastSnap Intro Package - Comcast -  Opp C069,Comcast Opp C069 - INST,Opp152,0,FastSnap Intro Package,Cloud,60892.72952,60892.72952,110,"Frazier, Tom",34932,1/13/2025,Expansions
SlimLite Tablet 10x - Comcast -  Opp C069,Comcast Opp C069 - HP 3.5,Opp152,10,SlimLite Tablet 10x,Networking,8596.498519,8596.498519,10,"Frazier, Tom",34932,1/13/2025,Expansions
SlimLite Tablet 10 - Comcast -  Opp C069,Comcast Opp C069 - HP 2.5,Opp152,10,SlimLite Tablet 10,Networking,5510.771961,5510.771961,10,"Frazier, Tom",34932,1/13/2025,Expansions
FastSnap Individual - Comcast -  Opp D034,Comcast Opp D034 - MTC,Opp153,0,FastSnap Individual,Cloud,31912.21534,31912.21534,120,"Frazier, Tom",34932,1/31/2025,New Business
SlimLite Tablet 10x - Comcast -  Opp D034,Comcast Opp D034 - HP 3.5,Opp153,10,SlimLite Tablet 10x,Networking,46997.25446,46997.25446,10,"Frazier, Tom",34932,1/31/2025,New Business
SlimLite Tablet 10 - Comcast -  Opp D034,Comcast Opp D034 - HP 2.5,Opp153,10,SlimLite Tablet 10,Networking,21090.5302,21090.5302,10,"Frazier, Tom",34932,1/31/2025,New Business
CloudLite Server Pro 9100 - Comcast -  Opp D037,Comcast Opp D037 - SP 5.6,Opp154,9100,CloudLite Server Pro 9100,Storage,215000,215000,9100,"Frazier, Tom",34932,9/25/2001,New Business
SlimLite Tablet 9 - Comcast -  Opp D077,Comcast Opp D077 - HP Att,Opp155,9,SlimLite Tablet 9,Networking,250000,250000,9,"Frazier, Tom",34932,3/13/2025,Expansions
SlimLite Tablet 9 - Comcast -  Opp D082,Comcast Opp D082 - HP Att,Opp156,9,SlimLite Tablet 9,Networking,90000,90000,9,"Frazier, Tom",34932,9/25/2001,New Business
SlimLite Tablet 9 - Comcast -  Opp D083,Comcast Opp D083 - HP Att,OppD083,9,SlimLite Tablet 9,Networking,200000,200000,9,"Frazier, Tom",34932,9/21/2025,New Business
CloudLite Server Pro 8200 - Liberty Mutual -  Opp A012,Liberty Mutual Opp A012 - SP Att,Opp1111,8200,CloudLite Server Pro 8200,Storage,90000,90000,8200,"Frazier, Tom",85201,1/16/2025,New Business
CloudLite Server Pro 9100 - Liberty Mutual -  Opp B012,Liberty Mutual Opp B012 - SP 5.6,Opp1112,9100,CloudLite Server Pro 9100,Storage,176506.9896,176506.9896,9100,"Frazier, Tom",85201,1/23/2025,Expansions
CloudLite Server Pro 8200 - Liberty Mutual -  Opp B012,Liberty Mutual Opp B012 - SP Att,Opp1112,8200,CloudLite Server Pro 8200,Storage,4021.087648,4021.087648,8200,"Frazier, Tom",85201,1/23/2025,Expansions
FastOffice Scanner D2400 - Liberty Mutual -  Opp B012,Liberty Mutual Opp B012 - SOLAR H,Opp1112,2400,FastOffice Scanner D2400,Servers,6971.922724,6971.922724,2400,"Frazier, Tom",85201,1/23/2025,Expansions
